chrom	start	end	name	score	strand	splice_site	acceptors_skipped	exons_skipped	donors_skipped	anchor	known_donor	known_acceptor	known_junction	gene_names	gene_ids	transcripts
AY849321.1	18087	18159	JUNC00000025	103	-	GT-AG	0	0	0	DA	1	1	1	E2	XLOC_000003	DBP,ptp_pol1,ptp_pol2
AY849321.1	18087	18163	JUNC00000026	8	-	GT-AG	0	0	1	A	0	1	0	E2	XLOC_000003	DBP,ptp_pol1,ptp_pol2
AY849321.1	18189	18684	JUNC00000028	14	-	GT-AG	0	0	0	DA	1	1	1	E2	XLOC_000003	DBP,ptp_pol1,ptp_pol2
AY849321.1	18189	18684	JUNC00000022	97	-	CT-AC	0	0	1	N	0	0	0	NA	NA	NA
AY849321.1	18350	18717	JUNC00000032	21	+	GT-AG	0	0	0	DA	1	1	1	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	18350	20162	JUNC00000033	18	+	GT-AG	1	1	1	DA	1	1	1	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,E3_Fib_ORF7,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	18751	20668	JUNC00000023	22	-	GT-AG	0	0	0	A	0	1	0	E2	XLOC_000003	DBP,ptp_pol1,ptp_pol2
AY849321.1	18751	20668	JUNC00000029	1	+	CT-AC	2	1	2	N	0	0	0	NA	NA	NA
AY849321.1	18751	21682	JUNC00000027	10	-	GT-AG	0	0	0	A	0	1	0	E2	XLOC_000003	DBP,ptp_pol1,ptp_pol2
AY849321.1	18751	21682	JUNC00000030	2	+	CT-AC	2	1	2	N	0	0	0	NA	NA	NA
AY849321.1	18768	20162	JUNC00000019	21	+	GT-AG	0	0	0	DA	1	1	1	E3,MLP	XLOC_000002,XLOC_000002	22K:Fib,33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,E3_Fib_ORF7,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	20223	20419	JUNC00000020	33	+	GT-AG	0	0	0	DA	1	1	1	E3,MLP	XLOC_000002,XLOC_000002	33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,E3_Fib_ORF7,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	20223	20894	JUNC00000034	2	+	GT-AG	1	0	0	D	1	0	0	E3,MLP	XLOC_000002,XLOC_000002	33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,E3_Fib_ORF7,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	20825	20958	JUNC00000036	1	+	GG-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	21735	22264	JUNC00000031	15	-	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	21735	22264	JUNC00000035	5	+	CT-AC	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	22540	24508	JUNC00000037	5	-	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	22540	24500	JUNC00000038	9	-	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	24602	25524	JUNC00000039	1	+	CT-AC	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	24602	25524	JUNC00000040	10	-	GT-AG	0	0	1	N	0	0	0	NA	NA	NA
AY849321.1	25701	26055	JUNC00000041	37	-	GT-AG	0	0	0	DA	1	1	1	E4	XLOC_000004	ORF8
AY849321.1	25970	26055	JUNC00000042	3	-	GT-AG	0	0	0	D	1	0	0	E4	XLOC_000004	ORF8
