chrom	start	end	name	score	strand	splice_site	acceptors_skipped	exons_skipped	donors_skipped	anchor	known_donor	known_acceptor	known_junction	gene_names	gene_ids	transcripts
AY849321.1	7531	20162	JUNC00000055	42	+	GT-AG	8	5	3	NDA	1	1	0	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,52K,E3_Fib_ORF7,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	8526	JUNC00000071	15	+	GT-AG	0	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	8734	JUNC00000066	27	+	GT-AG	1	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	12238	JUNC00000037	2446	+	GT-AG	3	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	12372	JUNC00000065	49	+	GT-AG	4	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	12466	JUNC00000067	437	+	GT-AG	4	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	13318	JUNC00000044	92	+	GT-AG	5	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	15958	JUNC00000038	41	+	GT-AG	6	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	18248	JUNC00000068	23	+	GT-AG	6	0	0	D	1	0	0	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	20419	JUNC00000054	558	+	GT-AG	8	5	3	NDA	1	1	0	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,52K,E3_Fib_ORF7,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	22492	JUNC00000036	1642	+	GT-AG	9	5	3	DA	1	1	1	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,52K,E3_Fib_ORF7,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	8570	JUNC00000034	707	+	GT-AG	0	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	16287	JUNC00000047	479	+	GT-AG	6	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	13610	JUNC00000033	2553	+	GT-AG	5	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	8551	JUNC00000043	48	+	GT-AG	0	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	9430	JUNC00000058	67	+	GT-AG	1	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	9828	JUNC00000041	41	+	GT-AG	2	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	11001	JUNC00000035	226	+	GT-AG	2	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	12246	JUNC00000040	52	+	GT-AG	4	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	12904	JUNC00000032	650	+	GT-AG	5	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	18717	JUNC00000042	1391	+	GT-AG	6	2	1	DA	1	1	1	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	20162	JUNC00000050	589	+	GT-AG	7	4	2	NDA	1	1	0	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,52K,E3_Fib_ORF7,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	20167	JUNC00000039	92	+	GT-AG	8	4	2	D	1	0	0	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,52K,E3_Fib_ORF7,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	7910	JUNC00000080	11	+	GT-AG	0	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	12241	JUNC00000089	10	+	GT-AG	4	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	12922	JUNC00000069	5	+	GT-AG	5	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	13351	JUNC00000070	5	+	GT-AG	5	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	13656	JUNC00000101	1	+	GT-AG	6	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7971	13610	JUNC00000094	1	+	GT-AG	5	0	0	A	0	1	0	MLP	XLOC_000002	Hexon,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	8543	10981	JUNC00000108	298	-	GT-AG	0	0	0	DA	1	1	1	E2	XLOC_000003	ptp_pol1,ptp_pol2
AY849321.1	11079	18159	JUNC00000020	118	+	CT-AC	3	0	0	N	0	0	0	NA	NA	NA
AY849321.1	11079	18159	JUNC00000110	404	-	GT-AG	0	0	1	DA	1	1	1	E2	XLOC_000003	DBP,ptp_pol1,ptp_pol2
AY849321.1	11079	17840	JUNC00000112	11	-	GT-AG	0	0	1	A	0	1	0	E2	XLOC_000003	ptp_pol1,ptp_pol2
AY849321.1	11085	16513	JUNC00000113	1	+	AA-TT	3	0	0	N	0	0	0	NA	NA	NA
AY849321.1	11475	11596	JUNC00000118	3	+	TA-AA	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	12308	12466	JUNC00000088	13	+	GT-AG	0	0	0	A	0	1	0	MLP	XLOC_000002	pX:Hexon
AY849321.1	12320	12466	JUNC00000090	121	+	GT-AG	0	0	0	A	0	1	0	MLP	XLOC_000002	pX:Hexon
AY849321.1	12350	12516	JUNC00000097	4	+	AT-AA	1	0	0	N	0	0	0	NA	NA	NA
AY849321.1	12310	13345	JUNC00000104	2	+	AT-AC	1	0	0	N	0	0	0	NA	NA	NA
AY849321.1	12397	12515	JUNC00000119	4	+	AA-GA	1	0	0	N	0	0	0	NA	NA	NA
AY849321.1	12320	13610	JUNC00000120	11	+	GT-AG	1	0	0	A	0	1	0	MLP	XLOC_000002	Hexon,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	12320	12904	JUNC00000121	1	+	GT-AG	1	0	0	N	0	0	0	NA	NA	NA
AY849321.1	12583	13351	JUNC00000122	2	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	12707	12902	JUNC00000123	2	+	AG-AC	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	12700	13610	JUNC00000124	1	+	GT-AG	0	0	0	A	0	1	0	MLP	XLOC_000002	Hexon,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	12821	13010	JUNC00000125	2	+	TT-GG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	12869	13204	JUNC00000126	2	+	AG-TG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	12990	16338	JUNC00000127	2	+	TT-CT	1	0	0	N	0	0	0	NA	NA	NA
AY849321.1	12953	13351	JUNC00000093	2	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	13087	13539	JUNC00000128	2	+	AT-AA	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	13019	13154	JUNC00000129	2	+	TC-GG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	13172	13281	JUNC00000130	2	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	13164	13489	JUNC00000131	2	+	AT-AC	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	13218	13386	JUNC00000132	1	+	GA-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	13252	20802	JUNC00000133	1	+	GT-AG	4	3	3	N	0	0	0	NA	NA	NA
AY849321.1	13362	13489	JUNC00000134	36	-	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	13344	13465	JUNC00000135	1	-	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	13728	14152	JUNC00000099	2	+	AA-GA	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	13772	16287	JUNC00000136	73	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	13837	14316	JUNC00000137	1	+	GA-TG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14047	14345	JUNC00000138	4	+	GC-CT	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14079	14335	JUNC00000139	7	+	TT-AC	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14133	14383	JUNC00000140	3	+	TA-GA	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14086	14342	JUNC00000141	1	+	GC-CT	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14258	14725	JUNC00000142	3	-	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14292	14356	JUNC00000143	28	+	TG-TG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14293	16082	JUNC00000144	4	+	GA-TA	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14374	14738	JUNC00000145	5	+	TA-AC	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14507	14706	JUNC00000146	142	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14488	14657	JUNC00000147	1	+	GA-AT	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14718	14781	JUNC00000148	5	+	AA-TA	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14778	15048	JUNC00000149	42	+	TA-TG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14802	15349	JUNC00000150	2	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14938	15593	JUNC00000151	11	+	GG-AT	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	14942	15253	JUNC00000152	1	-	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	15118	15260	JUNC00000153	35	+	AA-GA	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	15148	15223	JUNC00000155	213	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	15287	21801	JUNC00000156	2	+	TT-GT	3	2	3	N	0	0	0	NA	NA	NA
AY849321.1	15382	15551	JUNC00000157	1	+	GA-AT	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	15456	15551	JUNC00000158	5	+	GA-AT	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	15349	15474	JUNC00000159	2	+	GA-TA	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	15593	15714	JUNC00000160	14	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	15604	21050	JUNC00000161	2	-	GT-AG	2	1	3	N	0	0	0	NA	NA	NA
AY849321.1	15698	16377	JUNC00000162	3	+	TA-CT	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	15806	16167	JUNC00000163	5	+	AT-AC	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	15840	16472	JUNC00000164	6	+	TG-GG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	15882	16208	JUNC00000165	379	+	CC-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	15925	16167	JUNC00000166	36	+	AT-AC	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	16025	20419	JUNC00000102	14	+	GT-AG	2	2	3	A	0	1	0	E3,MLP	XLOC_000002,XLOC_000002	33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,E3_Fib_ORF7,Hexon,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	16170	16237	JUNC00000168	9	+	TT-GT	0	0	0	N	0	0	0	NA	NA	NA
