Name	Timepoint	start	end	Strand	Frequency	Total_Reads
58	JUNC_58	72hpi	2067	2189	-	1	1
59	JUNC_59	72hpi	2068	21862	+	1	25
60	JUNC_60	72hpi	2069	16495	+	1	111
61	JUNC_61	72hpi	2086	13889	+	1	7
62	JUNC_62	72hpi	2097	2171	+	1	1
63	JUNC_63	24hpi,72hpi	2099	2171	+	2	2617
64	JUNC_64	72hpi	2099	2187	+	1	16
65	JUNC_65	72hpi	2099	2198	+	1	29
66	JUNC_66	72hpi	2104	22110	+	1	6
67	JUNC_67	72hpi	2114	21759	+	1	15
68	JUNC_68	72hpi	2115	16757	+	1	3
69	JUNC_69	72hpi	2166	20800	-	1	4
70	JUNC_70	72hpi	2175	21304	-	1	185
71	JUNC_71	72hpi	2177	14661	+	1	44
72	JUNC_72	72hpi	2198	20758	+	1	13
73	JUNC_73	72hpi	2208	21900	+	1	5
74	JUNC_74	72hpi	2217	14569	-	1	9
75	JUNC_75	72hpi	2249	13420	+	1	12
76	JUNC_76	72hpi	2287	16439	+	1	2
77	JUNC_77	72hpi	2298	22122	+	1	2
78	JUNC_78	72hpi	2301	12901	+	1	857
79	JUNC_79	72hpi	2514	2631	-	1	12
80	JUNC_80	72hpi	2635	2961	-	1	10
81	JUNC_81	72hpi	2655	3122	-	2	143
82	JUNC_82	72hpi	2660	3030	-	1	322
83	JUNC_83	72hpi	2682	3363	-	1	16
84	JUNC_84	72hpi	2686	16486	-,+	2	36
85	JUNC_85	72hpi	2719	2982	-	1	408
86	JUNC_86	72hpi	2730	3005	-	1	4
87	JUNC_87	72hpi	2743	2797	-	1	26
88	JUNC_88	72hpi	2837	3124	-	1	1
89	JUNC_89	72hpi	2901	2976	-	1	4
90	JUNC_90	72hpi	3026	3080	-	1	7
91	JUNC_91	24hpi	3071	3299	-	1	2
92	JUNC_92	72hpi	3115	3773	+	1	22
93	JUNC_93	72hpi	3280	3949	-	1	19
94	JUNC_94	24hpi	3446	3616	-	1	1
95	JUNC_95	12hpi,24hpi,4hpi,72hpi	3447	3615	-	4	14148
96	JUNC_96	72hpi	3447	3617	-	1	26
97	JUNC_97	24hpi,72hpi	3447	3660	-	2	95
98	JUNC_98	24hpi	3447	8422	-	1	5
99	JUNC_99	12hpi,24hpi,72hpi	3447	10981	-	3	137
100	JUNC_100	72hpi	3449	3618	-	1	2
101	JUNC_101	24hpi,72hpi	3452	3773	+	2	36
102	JUNC_102	72hpi	3472	3615	-	1	7
103	JUNC_103	72hpi	3496	4400	-	1	1
104	JUNC_104	24hpi	3594	3923	-	1	1
105	JUNC_105	72hpi	3603	3773	+	1	1
106	JUNC_106	72hpi	3842	4226	+	1	84
107	JUNC_107	72hpi	3842	7454	+	1	361
108	JUNC_108	72hpi	3913	4226	+	1	25
109	JUNC_109	72hpi	3913	7454	+	1	61
110	JUNC_110	24hpi,72hpi	4040	4226	+	2	18
111	JUNC_111	72hpi	4117	4226	+	1	4
112	JUNC_112	72hpi	4119	4223	+	1	6
113	JUNC_113	72hpi	4126	4226	+	1	21
114	JUNC_114	72hpi	4151	4226	+	1	9
115	JUNC_115	24hpi	4288	10981	-	1	1
116	JUNC_116	72hpi	4303	4750	+	1	14
117	JUNC_117	72hpi	4303	5764	+	1	26
118	JUNC_118	24hpi,72hpi	4303	6140	+	2	21
119	JUNC_119	72hpi	4303	6282	+	1	168
120	JUNC_120	72hpi	4303	7361	+	1	39
121	JUNC_121	24hpi,72hpi	4303	7454	+	2	10091
122	JUNC_122	72hpi	4332	16515	-	1	1
123	JUNC_123	72hpi	4344	15689	+	1	5
124	JUNC_124	72hpi	4359	4953	+	1	1
125	JUNC_125	24hpi	4359	6138	+	1	1
126	JUNC_126	24hpi,72hpi	4359	7454	+	3	77
127	JUNC_127	72hpi	4360	4467	+	1	11
128	JUNC_128	72hpi	4360	4521	+	1	54
129	JUNC_129	72hpi	4360	4575	+	1	3
130	JUNC_130	24hpi,72hpi	4360	4750	+	2	47
131	JUNC_131	72hpi	4360	4981	+	1	166
132	JUNC_132	72hpi	4360	5041	+	1	13
133	JUNC_133	72hpi	4360	5403	+	1	32
134	JUNC_134	72hpi	4360	5670	+	1	62
135	JUNC_135	72hpi	4360	5719	+	1	145
136	JUNC_136	72hpi	4360	5764	+	1	41
137	JUNC_137	72hpi	4360	5794	+	1	26
138	JUNC_138	72hpi	4360	5812	+	1	1
139	JUNC_139	72hpi	4360	5881	+	1	1
140	JUNC_140	24hpi,72hpi	4360	6140	+	2	592
141	JUNC_141	24hpi,72hpi	4360	6282	+	2	3537
142	JUNC_142	72hpi	4360	6809	+	1	206
143	JUNC_143	24hpi,72hpi	4360	6842	+	2	658
144	JUNC_144	72hpi	4360	6912	+	1	89
145	JUNC_145	72hpi	4360	6917	+	1	52
146	JUNC_146	72hpi	4360	6927	+	1	1
147	JUNC_147	72hpi	4360	6930	+	1	41
148	JUNC_148	72hpi	4360	6947	+	1	32
149	JUNC_149	12hpi,24hpi,4hpi,72hpi	4360	7454	+	4	186768
150	JUNC_150	24hpi,72hpi	4360	7496	+	2	319
151	JUNC_151	72hpi	4360	12238	+	1	220
152	JUNC_152	72hpi	4360	12466	+	1	41
153	JUNC_153	72hpi	4360	20162	+	1	279
154	JUNC_154	72hpi	4360	20419	+	1	1113
155	JUNC_155	72hpi	4360	22492	+	1	119
156	JUNC_156	72hpi	4360	24537	+	1	191
157	JUNC_157	72hpi	4362	7459	+	1	6
158	JUNC_158	72hpi	4429	7454	+	1	723
159	JUNC_159	72hpi	4688	4938	-	1	1
160	JUNC_160	72hpi	4716	5002	+	1	11
161	JUNC_161	72hpi	4729	6140	+	1	6
162	JUNC_162	24hpi,72hpi	4729	7454	+	2	1362
163	JUNC_163	72hpi	4766	6293	+	1	2
164	JUNC_164	72hpi	4847	15531	-	1	54
165	JUNC_165	72hpi	5001	14761	+	1	4
166	JUNC_166	72hpi	5036	5318	+	1	1
167	JUNC_167	72hpi	5095	5465	+	1	1
168	JUNC_168	72hpi	5104	24882	+	1	4
169	JUNC_169	72hpi	5105	5475	+	1	2
170	JUNC_170	72hpi	5125	5670	+	1	1
171	JUNC_171	72hpi	5162	5510	+	1	1
172	JUNC_172	72hpi	5198	20968	+	1	5
173	JUNC_173	72hpi	5235	5389	+	2	7
174	JUNC_174	72hpi	5247	5626	+	1	7
175	JUNC_175	72hpi	5302	5390	+	1	2
176	JUNC_176	72hpi	5310	5457	+	1	19
177	JUNC_177	72hpi	5559	6519	+	1	3
178	JUNC_178	72hpi	5570	5656	+	1	6
179	JUNC_179	72hpi	5634	20637	+	1	1
180	JUNC_180	72hpi	5658	15856	+	1	133
181	JUNC_181	72hpi	5892	6140	+	1	259
182	JUNC_182	72hpi	5892	6282	+	1	177
183	JUNC_183	24hpi,72hpi	5892	7454	+	2	966
184	JUNC_184	72hpi	6089	20428	+	1	4
185	JUNC_185	72hpi	6205	7227	+	1	21
186	JUNC_186	72hpi	6220	6842	+	1	6
187	JUNC_187	72hpi	6220	7454	+	1	38
188	JUNC_188	72hpi	6290	6842	+	1	116
189	JUNC_189	72hpi	6333	18989	+	1	18
190	JUNC_190	72hpi	6339	6491	+	1	4
191	JUNC_191	72hpi	6339	6519	+	1	40
192	JUNC_192	72hpi	6339	6533	+	1	6
193	JUNC_193	72hpi	6339	6809	+	1	45
194	JUNC_194	24hpi,72hpi	6339	6842	+	2	2006
195	JUNC_195	72hpi	6339	6912	+	1	12
196	JUNC_196	24hpi,72hpi	6339	6917	+	2	8
197	JUNC_197	72hpi	6339	6927	+	1	1
198	JUNC_198	72hpi	6339	6947	+	1	1
199	JUNC_199	24hpi,72hpi	6339	7454	+	2	670
200	JUNC_200	72hpi	6343	7454	+	1	254
201	JUNC_201	72hpi	6364	6519	+	1	3
202	JUNC_202	72hpi	6364	6842	+	1	324
203	JUNC_203	72hpi	6364	6912	+	1	22
204	JUNC_204	72hpi	6364	7454	+	1	546
205	JUNC_205	72hpi	6382	16417	+	1	4
206	JUNC_206	72hpi	6408	15849	+	1	7
207	JUNC_207	72hpi	6415	15103	+	1	6
208	JUNC_208	72hpi	6456	16410	+	1	20
209	JUNC_209	24hpi,72hpi	6551	6809	+	2	281
210	JUNC_210	12hpi,24hpi,72hpi	6551	6842	+	3	1767
211	JUNC_211	72hpi	6551	6843	+	1	6
212	JUNC_212	72hpi	6551	6912	+	1	115
213	JUNC_213	72hpi	6551	6917	+	1	80
214	JUNC_214	72hpi	6551	6927	+	1	18
215	JUNC_215	72hpi	6551	6947	+	1	26
216	JUNC_216	24hpi,72hpi	6551	7454	+	2	1159
217	JUNC_217	72hpi	6551	7496	+	1	617
218	JUNC_218	72hpi	6555	7454	+	1	34
219	JUNC_219	72hpi	6796	6998	+	1	3517
220	JUNC_220	24hpi	6805	7001	-	1	1
221	JUNC_221	72hpi	6873	8696	+	1	46
222	JUNC_222	72hpi	6901	7469	-	1	326
223	JUNC_223	72hpi	6912	20757	-	1	5
224	JUNC_224	72hpi	6929	12275	+	1	902
225	JUNC_225	72hpi	6935	7476	+	1	13
226	JUNC_226	72hpi	6949	13878	+	1	9
227	JUNC_227	72hpi	6956	15117	+	1	15
228	JUNC_228	72hpi	6963	7452	+	1	27
229	JUNC_229	72hpi	6969	7361	+	1	181
230	JUNC_230	24hpi,72hpi	6969	7454	+	2	13625
231	JUNC_231	72hpi	6969	7496	+	1	173
232	JUNC_232	72hpi	6971	7492	+	1	7
233	JUNC_233	72hpi	6976	7507	-,+	3	2041
234	JUNC_234	72hpi	7060	7443	+	1	1
235	JUNC_235	72hpi	7062	8448	-	1	3
236	JUNC_236	24hpi,72hpi	7062	10981	-	2	24
237	JUNC_237	72hpi	7134	13846	+	1	6
238	JUNC_238	72hpi	7134	14023	+	1	1
239	JUNC_239	72hpi	7174	7308	+	1	5
240	JUNC_240	72hpi	7236	20773	+	1	9
241	JUNC_241	72hpi	7283	20817	+	1	1
242	JUNC_242	72hpi	7337	7401	+	1	66
243	JUNC_243	72hpi	7360	7454	+	1	177
244	JUNC_244	72hpi	7460	12586	+	1	21
245	JUNC_245	72hpi	7478	16230	+	1	30
246	JUNC_246	72hpi	7485	13011	+	2	43
247	JUNC_247	72hpi	7486	19886	+	1	7
248	JUNC_248	72hpi	7487	8669	+	1	19
249	JUNC_249	72hpi	7488	8665	+	1	18
250	JUNC_250	24hpi	7489	20733	+	1	2
251	JUNC_251	72hpi	7491	14524	+	1	10
252	JUNC_252	72hpi	7491	15790	+	1	12
253	JUNC_253	72hpi	7491	20743	+	1	3
254	JUNC_254	72hpi	7498	7769	+	1	1
255	JUNC_255	72hpi	7502	12266	+	1	39
256	JUNC_256	72hpi	7507	13796	+	1	442
257	JUNC_257	72hpi	7508	16417	+	1	11
258	JUNC_258	72hpi	7508	20516	+	1	3
259	JUNC_259	72hpi	7513	16475	+	1	12
260	JUNC_260	72hpi	7517	7608	+	1	38
261	JUNC_261	72hpi	7528	7752	+,-	3	3968
262	JUNC_262	72hpi	7530	12251	+	1	344
263	JUNC_263	72hpi	7531	7671	+	1	98
264	JUNC_264	24hpi,72hpi	7531	7733	+	2	89
265	JUNC_265	12hpi,24hpi,72hpi	7531	7738	+	3	8649
266	JUNC_266	72hpi	7531	7739	+	1	423
267	JUNC_267	72hpi	7531	7743	-	1	1
268	JUNC_268	12hpi,24hpi,4hpi,72hpi	7531	7754	+	4	335058
269	JUNC_269	72hpi	7531	7757	+	1	432
270	JUNC_270	72hpi	7531	7782	+	1	3201
271	JUNC_271	24hpi,72hpi	7531	8570	+	2	142
272	JUNC_272	72hpi	7531	11001	+	1	81
273	JUNC_273	24hpi,72hpi	7531	12238	+	2	1115
274	JUNC_274	72hpi	7531	12272	+	1	564
275	JUNC_275	72hpi	7531	12466	+	1	959
276	JUNC_276	72hpi	7531	12904	+	1	224
277	JUNC_277	24hpi,72hpi	7531	13610	+	2	852
278	JUNC_278	24hpi,72hpi	7531	18717	+	2	279
279	JUNC_279	24hpi,72hpi	7531	20162	+	2	529
280	JUNC_280	24hpi	7531	20419	+	1	209
281	JUNC_281	24hpi,72hpi	7531	22492	+	2	883
282	JUNC_282	72hpi	7532	7756	+	1	8
283	JUNC_283	72hpi	7536	13040	-	1	2
284	JUNC_284	72hpi	7624	7754	+	1	1
285	JUNC_285	72hpi	7784	13357	+	1	122
286	JUNC_286	72hpi	7790	12632	+	1	108
287	JUNC_287	72hpi	7791	13590	+	1	476
288	JUNC_288	72hpi	7792	16090	+	1	137
289	JUNC_289	72hpi	7796	16149	+	1	64
290	JUNC_290	72hpi	7806	12238	+	1	288
291	JUNC_291	72hpi	7806	12466	+	1	96
292	JUNC_292	72hpi	7806	12904	+	1	59
293	JUNC_293	72hpi	7806	13610	+	1	45
294	JUNC_294	72hpi	7806	16287	+	1	1
295	JUNC_295	72hpi	7806	22492	+,-	2	53
296	JUNC_296	72hpi	7806	22493	+	1	43
297	JUNC_297	72hpi	7807	7876	+	1	30
298	JUNC_298	72hpi	7807	7909	+	1	146
299	JUNC_299	24hpi,72hpi	7807	7910	+,-	3	2053
300	JUNC_300	72hpi	7807	8066	+	1	1037
301	JUNC_301	72hpi	7807	8278	+	1	19
302	JUNC_302	72hpi	7807	8522	+	1	45
303	JUNC_303	24hpi,72hpi	7807	8526	+	2	920
304	JUNC_304	24hpi,72hpi	7807	8551	+	2	193
305	JUNC_305	72hpi	7807	8555	+	1	314
306	JUNC_306	12hpi,24hpi,72hpi	7807	8570	+,-	4	14146
307	JUNC_307	24hpi,72hpi	7807	8734	+	2	904
308	JUNC_308	72hpi	7807	8799	+	1	1
309	JUNC_309	72hpi	7807	9393	+	1	662
310	JUNC_310	72hpi	7807	9415	+	1	46
311	JUNC_311	24hpi,72hpi	7807	9430	+,-	3	2557
312	JUNC_312	72hpi	7807	9431	+	1	32
313	JUNC_313	24hpi,72hpi	7807	9828	+	2	42
314	JUNC_314	72hpi	7807	10019	+	1	184
315	JUNC_315	72hpi	7807	10132	+	1	36
316	JUNC_316	72hpi	7807	10708	+	1	42
317	JUNC_317	12hpi,24hpi,72hpi	7807	11001	+	3	10481
318	JUNC_318	72hpi	7807	11457	+	1	27
319	JUNC_319	72hpi	7807	11636	+	1	2
320	JUNC_320	72hpi	7807	11784	+	1	25
321	JUNC_321	72hpi	7807	12122	+	1	789
322	JUNC_322	72hpi	7807	12207	+	1	1211
323	JUNC_323	12hpi,24hpi,72hpi	7807	12238	+,-	4	80070
324	JUNC_324	24hpi,72hpi	7807	12241	+	2	1718
325	JUNC_325	24hpi,72hpi	7807	12246	+	2	681
326	JUNC_326	24hpi,72hpi	7807	12372	+	2	1393
327	JUNC_327	72hpi	7807	12429	+	1	613
328	JUNC_328	12hpi,24hpi,72hpi	7807	12466	+,-	4	19587
329	JUNC_329	72hpi	7807	12484	+	1	273
330	JUNC_330	72hpi	7807	12836	+	1	943
331	JUNC_331	72hpi	7807	12889	+	1	185
332	JUNC_332	12hpi,24hpi,72hpi	7807	12904	+,-	4	22600
333	JUNC_333	72hpi	7807	12906	-	1	1012
334	JUNC_334	12hpi,24hpi,72hpi	7807	12922	+	3	330
335	JUNC_335	72hpi	7807	13281	+	1	1015
336	JUNC_336	72hpi	7807	13296	+	1	1284
337	JUNC_337	24hpi,72hpi	7807	13318	+,-	3	3258
338	JUNC_338	24hpi,72hpi	7807	13351	+	2	194
339	JUNC_339	72hpi	7807	13566	+	1	599
340	JUNC_340	12hpi,24hpi,72hpi	7807	13610	+,-	4	84005
341	JUNC_341	24hpi,72hpi	7807	13656	+	2	1841
342	JUNC_342	72hpi	7807	14694	+	1	555
343	JUNC_343	72hpi	7807	15149	+	1	1473
344	JUNC_344	72hpi	7807	15205	+	1	648
345	JUNC_345	72hpi	7807	15475	+	1	347
346	JUNC_346	72hpi	7807	15955	+	1	278
347	JUNC_347	24hpi,72hpi	7807	15958	+	2	1278
348	JUNC_348	72hpi	7807	16102	+	1	395
349	JUNC_349	24hpi,72hpi	7807	16287	+	2	8739
350	JUNC_350	72hpi	7807	16297	+	1	390
351	JUNC_351	72hpi	7807	18170	+	1	44
352	JUNC_352	72hpi	7807	18183	+	1	156
353	JUNC_353	24hpi,72hpi	7807	18248	+	2	690
354	JUNC_354	72hpi	7807	18699	+	1	183
355	JUNC_355	12hpi,24hpi,72hpi	7807	18717	+,-	4	14392
356	JUNC_356	72hpi	7807	18735	+	1	187
357	JUNC_357	24hpi,72hpi	7807	20162	+	2	4764
358	JUNC_358	24hpi,72hpi	7807	20167	+	2	523
359	JUNC_359	72hpi	7807	20170	+	1	308
360	JUNC_360	24hpi,72hpi	7807	20419	+	2	5125
361	JUNC_361	72hpi	7807	20802	+	1	938
362	JUNC_362	72hpi	7807	20894	+	1	79
363	JUNC_363	72hpi	7807	22120	+	1	104
364	JUNC_364	12hpi,24hpi,4hpi,72hpi	7807	22492	+	4	23540
365	JUNC_365	72hpi	7809	8573	+	1	14
366	JUNC_366	72hpi	7811	7916	-	1	26
367	JUNC_367	72hpi	7811	9436	+	1	38
368	JUNC_368	72hpi	7811	12466	+	1	16
369	JUNC_369	72hpi	7813	12909	+	1	2
370	JUNC_370	24hpi	7971	13610	+	1	1
371	JUNC_371	72hpi	8125	8234	+	1	3
372	JUNC_372	72hpi	8130	8239	-	1	1
373	JUNC_373	72hpi	8145	8570	+	1	38
374	JUNC_374	72hpi	8145	11001	+	1	40
375	JUNC_375	72hpi	8145	12904	+	1	68
376	JUNC_376	24hpi,72hpi	8543	10981	-	2	1148
377	JUNC_377	72hpi	8606	13610	+	1	284
378	JUNC_378	72hpi	8617	18260	+	1	13
379	JUNC_379	72hpi	8713	14183	+	1	1
380	JUNC_380	72hpi	8725	12230	-	1	4
381	JUNC_381	72hpi	8730	12243	+	1	25
382	JUNC_382	72hpi	8731	10999	+	1	7
383	JUNC_383	72hpi	8987	12466	+	1	84
384	JUNC_384	72hpi	9024	9131	+	1	31
385	JUNC_385	72hpi	9032	16619	-	1	4603
386	JUNC_386	72hpi	9154	9207	+	1	21
387	JUNC_387	72hpi	9473	19703	+	1	2
388	JUNC_388	72hpi	9590	22074	+	1	3
389	JUNC_389	72hpi	9612	16378	+	1	10
390	JUNC_390	72hpi	9679	11457	+	1	17
391	JUNC_391	72hpi	9716	16755	+	1	16
392	JUNC_392	72hpi	9826	15404	+	1	1
393	JUNC_393	72hpi	9833	10281	+	1	6
394	JUNC_394	72hpi	9891	20679	+	1	362
395	JUNC_395	72hpi	9908	25351	+	1	3
396	JUNC_396	72hpi	9929	10292	+	1	1
397	JUNC_397	72hpi	9957	16723	+	1	7
398	JUNC_398	72hpi	9966	16379	+	1	2
399	JUNC_399	72hpi	9973	10222	-	1	2
400	JUNC_400	72hpi	10019	10070	+	1	2
401	JUNC_401	72hpi	10050	14671	+	1	2
402	JUNC_402	72hpi	10112	21496	-	1	1
403	JUNC_403	72hpi	10341	16653	+	1	4
404	JUNC_404	72hpi	10386	11067	-	1	4
405	JUNC_405	72hpi	10739	12472	+	2	5
406	JUNC_406	72hpi	10791	11728	-	1	27
407	JUNC_407	72hpi	10953	21086	+	1	3
408	JUNC_408	72hpi	10966	15664	+	1	3
409	JUNC_409	72hpi	11041	12763	+	1	2
410	JUNC_410	72hpi	11042	16357	+	1	3
411	JUNC_411	72hpi	11058	11308	+	1	3
412	JUNC_412	72hpi	11062	16827	+	1	6
413	JUNC_413	24hpi,72hpi	11079	17840	-,+	3	179
414	JUNC_414	12hpi,24hpi,72hpi	11079	18159	-,+	5	2030
415	JUNC_415	72hpi	11085	15103	+	1	12
416	JUNC_416	24hpi	11085	16513	+	1	1
417	JUNC_417	72hpi	11092	12993	+	1	9
418	JUNC_418	72hpi	11092	15002	+	1	3
419	JUNC_419	72hpi	11173	16082	+	1	1
420	JUNC_420	72hpi	11225	11451	+	1	1
421	JUNC_421	72hpi	11265	11543	+	1	18
422	JUNC_422	72hpi	11273	15906	+	1	1
423	JUNC_423	72hpi	11274	16072	+	1	9
424	JUNC_424	72hpi	11281	15356	+	1	5
425	JUNC_425	72hpi	11312	15887	+	1	2
426	JUNC_426	72hpi	11354	20830	+	1	1
427	JUNC_427	72hpi	11403	13984	+	1	2
428	JUNC_428	72hpi	11413	16114	+	1	1
429	JUNC_429	72hpi	11458	15340	+	1	60
430	JUNC_430	24hpi	11475	11596	+	1	3
431	JUNC_431	72hpi	11501	11616	+	1	1
432	JUNC_432	72hpi	11502	11617	+	1	22
433	JUNC_433	72hpi	11511	12890	+	1	1
434	JUNC_434	72hpi	11512	15770	+	1	1
435	JUNC_435	72hpi	11535	15897	+	1	7
436	JUNC_436	72hpi	11559	12238	+	1	386
437	JUNC_437	72hpi	11663	20877	+	1	47
438	JUNC_438	72hpi	11710	11841	+	1	6
439	JUNC_439	72hpi	11795	21669	+	1	1
440	JUNC_440	72hpi	11807	16081	+	1	3
441	JUNC_441	72hpi	11809	15180	+	1	30
442	JUNC_442	72hpi	12023	12126	+	1	3
443	JUNC_443	72hpi	12023	12949	+	1	3
444	JUNC_444	72hpi	12061	14341	+	1	35
445	JUNC_445	72hpi	12108	15563	+	1	4
446	JUNC_446	72hpi	12168	15067	+	1	2
447	JUNC_447	72hpi	12177	14897	-	1	2
448	JUNC_448	72hpi	12234	12376	+	1	13
449	JUNC_449	72hpi	12264	12477	+	1	41
450	JUNC_450	72hpi	12267	12546	+	1	49
451	JUNC_451	72hpi	12273	12473	+	1	1
452	JUNC_452	72hpi	12278	12922	+	1	6
453	JUNC_453	72hpi	12278	13351	+	1	8
454	JUNC_454	72hpi	12278	15822	+	1	11
455	JUNC_455	72hpi	12287	12392	+	1	3
456	JUNC_456	72hpi	12295	12466	+	1	45
457	JUNC_457	72hpi	12302	12372	+	1	43
458	JUNC_458	72hpi	12304	12457	+	1	44
459	JUNC_459	24hpi,72hpi	12308	12466	+	2	265
460	JUNC_460	72hpi	12308	12524	+	1	28
461	JUNC_461	72hpi	12310	12916	+	1	19
462	JUNC_462	24hpi,72hpi	12310	13345	+	2	121
463	JUNC_463	72hpi	12310	13742	+	1	7
464	JUNC_464	72hpi	12319	12467	+	1	16
465	JUNC_465	72hpi	12320	12414	+	1	22
466	JUNC_466	72hpi	12320	12429	+	1	355
467	JUNC_467	24hpi,72hpi	12320	12466	+	2	10143
468	JUNC_468	72hpi	12320	12484	+	1	340
469	JUNC_469	24hpi,72hpi	12320	12904	+	2	212
470	JUNC_470	72hpi	12320	12922	+	1	21
471	JUNC_471	24hpi,72hpi	12320	13610	+	2	12
472	JUNC_472	72hpi	12320	16287	+	1	948
473	JUNC_473	72hpi	12320	18717	+	1	62
474	JUNC_474	72hpi	12327	12549	+	1	1
475	JUNC_475	72hpi	12336	12553	-	1	11
476	JUNC_476	72hpi	12341	12402	+	1	107
477	JUNC_477	72hpi	12344	22158	+	1	1
478	JUNC_478	72hpi	12350	12444	+	1	3
479	JUNC_479	24hpi,72hpi	12350	12516	+	2	130
480	JUNC_480	72hpi	12353	12522	+	1	18
481	JUNC_481	72hpi	12361	15855	+	1	15
482	JUNC_482	72hpi	12362	12527	+	1	2
483	JUNC_483	72hpi	12365	12528	+	1	147
484	JUNC_484	72hpi	12365	12531	+	1	5
485	JUNC_485	72hpi	12367	12529	+	1	164
486	JUNC_486	72hpi	12367	13362	+	1	80
487	JUNC_487	72hpi	12370	15091	+	1	7
488	JUNC_488	72hpi	12377	12486	+	1	100
489	JUNC_489	72hpi	12377	12537	+	1	73
490	JUNC_490	72hpi	12377	12544	+	1	5
491	JUNC_491	72hpi	12384	12489	+	1	1032
492	JUNC_492	72hpi	12389	12466	+	1	1827
493	JUNC_493	72hpi	12389	12484	+	1	176
494	JUNC_494	72hpi	12389	12540	+	1	232
495	JUNC_495	72hpi	12391	12554	+	1	1
496	JUNC_496	72hpi	12393	12511	+	1	47
497	JUNC_497	72hpi	12395	12466	+	1	268
498	JUNC_498	24hpi,72hpi	12397	12515	+	2	92
499	JUNC_499	72hpi	12401	12498	+	1	45
500	JUNC_500	72hpi	12401	12558	+	1	34
501	JUNC_501	72hpi	12404	15088	+	1	18
502	JUNC_502	72hpi	12406	12511	+	1	4
503	JUNC_503	72hpi	12406	12554	+	1	130
504	JUNC_504	72hpi	12407	12556	+	1	24
505	JUNC_505	72hpi	12408	13414	+	1	1
506	JUNC_506	72hpi	12409	12506	+	1	37
507	JUNC_507	72hpi	12410	12513	+	1	85
508	JUNC_508	72hpi	12413	12537	+	1	22
509	JUNC_509	72hpi	12425	15340	+	1	2
510	JUNC_510	72hpi	12425	16392	+	1	64
511	JUNC_511	72hpi	12450	15401	+	1	2
512	JUNC_512	72hpi	12450	16584		1	1
513	JUNC_513	72hpi	12458	12522	+	1	458
514	JUNC_514	72hpi	12458	12803	+	1	912
